audio,Noakhali_text
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_0.wav,ভাই হইলা আই আইবিএর লাই ট্রাই কইচ্ছি বুইযজেন নি ঢাকা ইউনিভার্সিটির আইবিএ
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_1.wav,ইয়ানের লাই ট্রাই কইচ্ছিলাম আই সাইন্সের তুন হইচ্ছি আল্লাহর রহমতে
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_2.wav,সাইন্সের তুন ভাল রেজাল্ট কইচ্ছি করার হরে দেই অন আই
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_3.wav,মানি সবসময় আর একটা স্বপ্ন আছিল আরকি যে ঢাকা ইউনিভার্সিটির আইবিএর মইদ্ধে ভরতি হইম
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_4.wav,অন এডার লাই আই সাইন্সের সব ছারি আর আব্বা মেডিকেলের মইদ্ধে মেডীকেলের প্রিপারেশনের লাই
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_5.wav,উন্মেশের মইদ্ধে ভরতি করাইছে আই হেই উন্মাশের প্রিপারেশন হিয়ান্তা কদ্দুর লইছি কদ্দুর
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_6.wav,না লই মানি অদ্দইককা অদ্দেইকা এরুমম কদ্দুর লইছি আরি না লই হরে আই দেই
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_7.wav,আইবিএর লাই মেন্টরস এ ইয়ান্দি ভরতি হইছি ইয়ান্দি শিরশ ভাই একটা আসিল হেতে
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_8.wav,হরাইসে আংগোরে হেতে হরাইসে এরহরে দি
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_9.wav,হ্যা খালিদ ভাই একজন আছে হেতেনে হরাসে হেতারা দুইজনে হরাইসে
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_10.wav,ইংরেজি আর অংক  ম্যাথ মানি আইবিএর লাই যে প্রিপারেশন নেন দরকার হেতা আংগোরে বেক
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_11.wav,গিন করাইছে করানের হরে অন কইচ্ছি
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_12.wav,আল্লাহর রহমতে মক তক দিসি মোটামোটি ভালা রেসাল্ট ই হইছিল মক এর মইদ্ধে একটু আ
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_13.wav,আশাবাদি আছিলাম কন্দিদেন্ট আছিলাম নিজের উপর একটা আত্তবিসশাশ আছিল
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_14.wav,অন আছিল দেন দিসি এল্লাই পরিক্ষা দিসি পরিক্ষাটা
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_15.wav,দেনের হরে দি আই খুশি আসিলাম কিন্তু এনালিটীক্যাল একটা পার্ট
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_16.wav,আছে আইবিএর মদ্ধে অন এনালিটীক্যাল পার্ট আই দেহি আই বেগগুন হারিনা অন এনালিটীক্যাল পার্ট
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_17.wav,আই বেগগুন হমানে করা শুরু কইচ্ছি আই তো ভুলি গেছি আর যে ম্যাথ দেন লাইগব ইয়ান্দি যে ম্যথের
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_18.wav,পারট ইকগা আছে আই হেডার কথা ভুলি গেছি আই এনালিটীক্যাল দি 
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_19.wav,টাইম গেছে নষ্ট হই এর হরে তাড়াহুরা করি দিসি ইংলিশ ইংলিশ
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_20.wav,দিসি এনালাইটিক্যাল দিসি দেয়নের হর দেই এবার ম্যাথের লাই আর কাছে আর এলা
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_21.wav,বিশ মিনিট এলা বিশ মিনিটে যদ্দুর হাইরছি আই তদ্দুর আই আর
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_22.wav,সরবচ্চো চেষ্টা কইচ্ছি দিসি দেওনের হরে অন কিরুকুম তা
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_23.wav,তারহরেও একটা মনের মধ্যে একটা আশা আসিল আরকি এত খারাপ ও তো দি ন এনা
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_24.wav,লিটিক্যাল যা আইসে  দিসি ইংলিশ ও আলহামদুলিল্লাহ সব দিসি মোটামোটি
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_25.wav,কিছু ভোকাবুলারিত কিছু সমস্যা আছিল
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_26.wav,এই দুই একগা আন্তাইজজা দিসি আন্তাইজজা দিয়া লাইসি অন ম্যাথ তো বেগগুন তো দিতাম হারি ন এই কারনে
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_27.wav,আরকি ইংলিশে এক্টূ রিস্ক লইসি আর্কি লনের হরে দেই অন
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_28.wav,অন রেজাল্টএর আগে দি আই আইবিএর আগে দি আই এই
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_29.wav,আশাা বাদি আসিলাম অন আল্লাহ দে না আর কি করার কারন ধরেন আই তো
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_30.wav,একটু আর যদ্দুর খারাপ হইছে অনেক হোলাইনের হেগুনের অনেক বেশি ভালা
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_31.wav,কইচ্ছে মানে কম্পেটিশন এত হারড হইছে যে আর একটু ভুলের কারনে আই অনেক হিছাই গেছি
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_32.wav,এরকম একটা অবস্থা হইছে আরকি তো যাক আইবিএর হয়ন আর বিউপিত দি
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_33.wav,দিসি বিউপিত ভাইবা হইরযন্ত আইসি ভাইবাত যাইত হারিন অসুস্থ হই গেছি 
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_34.wav,এই নারভাসনেস কাজ কইচ্ছে আরকি আইবিএতে আইবি টাইবি এননে হেননে
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_35.wav,এর হরে জাহাংগির নগরে দিসি জাহাংগির নগরে টিকি ন রাজশাহিত দিসি
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_36.wav,রাজশাহীত আলহামদুলিল্লাহ টিকি গেসি রাজশাহীত এককানো টিকসি আল্লহর রহমতে
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_37.wav,অন রাজশাহী খান আর লাই বেশি ধুর হইযায় বুযজেন নি এর হরে রাজশাহীত আর কেও নাই তারহরে
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_38.wav,মন টানেনা রাজশাহীত তই রাজশাহীতে আর যাই
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_39.wav,ন হরে  এন্দি হাকে দি নর্থ সাঊথে হরিক্ষা দিসিলাম আরকি নর্থ সাউথে হরিক্ষা দে
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_40.wav,ওনের হরে  আল্লাহর রহমতে আর তিন আন আইছে তিন খান সাব্জেক্ট আইছে
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_41.wav,কি কি আইছে তিনখান নি হ ফারমেসি আইছে বায়ো কেমিস্টি বায়ো
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_42.wav,কেমিস্ত্রি নি ইয়ানের নাম বায়োটেকনোলজি  মনে হয় কি এককান আছে হেঠা আইছে
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_43.wav,আর বিবিএ আইছে অন হুইনচি আরকি বড় ভাইগর তুন আরকি হেতারা পরা
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_44.wav,মরশ দিছে অত পরিচিত কেউ আছিল তো এই বলে
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_45.wav,ঢাকা ইউনিভার্সিটির আইবিএরে মোটামোটি একটা হেলথি কম্পিটীশন দেয় এনেসিউর বিবিএ
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_46.wav,দেয় হুইনচি মানে স্টেন্ডারড টা ঐ রুকুম তো যাক নর্থ সাউথে ভর
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_47.wav,তি হই গেছি প্রাইভেটে মইদ্ধে হরার যে খুব মানে সামরথ আছে বা
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_48.wav,এরুকুম ন আল্লাহর রহমতে আল্লাহ যা দিছে চইলতে হারি আরকি
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_49.wav,আল্লাহামদুল্লাহ শোকর আল্লহার দরবারে শোকর যেননে দিসে হেন্নে চইলতে হারি
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_50.wav,নর্থ সাউথে হরিয়েনের দেন সমইস্যা হই যাবে এরুম ন ধরেন একটু 
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_51.wav,কম বেশ হই গেলে আরকি ধরেন আর কি কদিন যেন্নে যাইতেছে
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_52.wav,জিনিস হত্রের দাম দাম যেরুম বাড়ের কিছু যদি বাড়ি যায় বা কমি যায় টেয়া হইসা
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_54.wav,চইলতাছে অন হহিলা সেমেস্টার এ  হই গেছে আর ডেঙ্গু এন্দি
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_55.wav,কুরিল উঠছি ভাই ইগগার লগে আরকি বুইযজেন নি হরে আর ডেংগু হইছে
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_56.wav,ডেঙ্গুতে আই আর বাপ আমরা দুজনের একলগে ডেঙ্গু হই হাসপাতালে ভরতি
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_57.wav,এর হরে আই তো দুরবল হই গেছি একমাসের মত যাইতাম ই হারিনা হরে আই গেসি আর ই দেই ছাব্বিশগা
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_59.wav,এমনে কাউরে চিনিনা মিতু আপু একজন আছে হেতেন ও মনে হয় সিএসচি তে হেতেনরে চি
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_0.wav,আইজ্জা বেয়ানে ঘুমের তুন উডি এ হুনি নানিরে লই
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_1.wav,মামার বাড়ি যান লাইগবো ঘুম তুন উডি এ মেজাজ ডা গরম হই গেছে
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_2.wav,অন আর এই বয়স আছে নি এই মামার বাড়ি যান হেই মামার বাড়ি যান
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_3.wav,এই জিনিসপাতি লই যান আর আর মনো চায় না বুইযযেন নি
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_4.wav,আইছা শুনো অন আবার খবরের মইধ্যে দেইখলাম
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_5.wav,মানে আংগো ফেসবুকে ফেসবুকে মইধ্যে তো অন যান ই যায় না
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_6.wav,আংগো বেডারে ফেসবুকে যাই কিতা যে কইরব কিছুই বুযিনা খালি মাইয়াগো
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_7.wav,ছবি এই হোলাইনডিরি সব ডিরি খারাপ বানাই লাইসে এডিরে
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_8.wav,যদি মসজিদে জানের কথা কয় এডি আর হা বাড়ায় না এডি হিছের দিকে
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_9.wav,হাডে এডি হুরা দুনিয়াডা নষ্ট করি দিছে মোবাইল্ডার মইধ্যে
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_10.wav,ধ্যে খুল্লেই এই টিকটকএই ফেসবুক এই টিকটক এই এডি ই ঘুরে
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_11.wav,এই টিকটক মিক্টক এডি যে যেতারা করে এডিগো নামায রো
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_12.wav,জা কিছু হয় নি কি ক্যামেরার একটা সামনে আই গা দেহাই নাচে
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_13.wav,ক্যামেরার একটা সামনে আই হোন নাচায় এডির কোনো আদাওব কায়দা
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_14.wav,কিচ্ছু নাই আর বাংলাদেশের মাইয়ারা দিন দিন যেমনে
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_15.wav,লেংটা হই যার এডি দেইখতে তো খারাপ লাগে রাস্তা ঘাটে অন
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_16.wav,কোনো মানুষ ই হান যায় না আর আগে মাইনষে
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_17.wav,বোরকা হিন্দন ছাড়া রাস্তার মইধ্যে বাইর ই হইত না গেরামেও তাও ভালা
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_18.wav,আছে বোরকা মোরকা হিন্দি থায় কিন্তু ঘরের মইধ্যে তো সেই একি এডি
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_19.wav,হারাডা দিন ধরি খালি কাইজজা করে ঘরে ঘরে ভেজাল ভাইয়ে ভাইয়ে ভেজাল
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_20.wav,জমি জমা লই ভেজাল মানে কোনো জায়গাত শান্তি নাই এই
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_21.wav,এই আইজজা গতকাইল্যা আরি আংগো ঘরো গেসিলাম গেরামে
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_22.wav,গেরামে আংগো বাড়ি আছে চাইরটা চাইর ভাইয়ের মইধ্যে
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_23.wav,চাইর ভাইয়ের লগে চাইর ভাইয়ের গেঞ্জাম মানে কনো যাই কদ্দুর শান্তি মত
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_24.wav,বইব বই কদ্দুর চা হানি খাইব এইডার কোনো অবস্থা
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_25.wav,নাই এই বাইত গেলে হেই বাড়ির বেডা কয় এই বাইত গেসছ কিত্তি এই বাইত গেলে
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_26.wav,হেই বাড়ির বেডা কয় কিতারে তুঁই দেই আর লগে আর মাতছ ছা তুঁই হেনে গেসছ
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_27.wav,কিত্তি মানে কিতা যে কইতাম সবডির মইধ্যে খালি ঝামেলা
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_28.wav,আর বেডি এডির কতা কিতা আর কইতাম বেডি এডি এক বেডির ঘরে
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_29.wav,আরেক বেডি ঢুক্লেই কয় আর জিনিস ধইরবিনা ঐ তুঁই আর জিনিস লই গেসছ ঐ
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_30.wav,তুঁই আর জিনিস চুরি কইরবি এইশব চলে বাড়ির মইদ্যে শান্তি
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_31.wav,মত কদ্দুর বইয়ন যায় না এই বাড়ির মইধ্যে পুকুর একটা আছে বুইযজেন নি পু
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_32.wav,পুকুর এটার মইধ্যে মাছ আছে মনে হয় মাছ হালায় আর বড় ঝে
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_33.wav,ঝেঠা একটা মাছ টাছ হালাইলে মাছ এডই যন বড় হয়
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_34.wav,এই মাছ ভাগ লই চাইর ঘরে আবার কাইজজা কাইজ্জার
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_35.wav,কাইজজার কোনো শেষ নাই এই মাছ বড়
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_36.wav,ভাই মাছ লইব তো ছোট ভাইয়ের মন খারাপ ছোট ভাইয়ে মাছ লইলে বড় ভাইয়ে
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_37.wav,মন খারাপ মাইজখান দি দুই ভাই আই কাইজজা করে হেতাগো মাছ কম
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_38.wav,দিছে কিল্লাই হেতাগোরে মাছ বেশি দিছে কিল্লাই হেতারা কই মাছ খাইব হেতারা রুই
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_39.wav,রুই মাছ খাইব হেতারা পাংগাস খাইব মানে একেক জনের একেক রকম
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_40.wav,বনশা আরি এই এইসব লই বাড়ির মইধ্যে গেঞ্জাম
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_41.wav,চলে অন আংগো ঘরের মইধ্যে নতুন বাথরুম দুগা দিছে
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_42.wav,বড় বড় টাইলস বইয়াইছে হাকঘর দিছে বাইরে হাকঘর
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_43.wav,ঘর আছে গ্যাসের চুলা রান্ধি এই মাংস টাংস মাছ টাস
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_45.wav,এদি অন রানের লাই ফিরিজ কিনছে তো ভালাই ভালায় চল
/content/drive/MyDrive/WavDataset/TestWavFile/Samin-1_segment_46.wav,কোন ভাই আয় কাইজজা করে ঘরের মধ্যে শান্তি টান্তি নষ্ট করে কিছুই বুযা যায়
